                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.71854,                0.38048,                0.92684,                0.97433,                0.98598,                0.99317,                0.78414,                 0.8859,                0.37039,                0.99103,             0.00056535,             0.00056535,             0.00056535
                    110,                0.73697,                0.38374,                0.92946,                0.96849,                0.96909,                0.98566,                0.78629,                0.86989,                0.37874,                0.98188,             0.00056345,             0.00056345,             0.00056345
                    111,                0.72432,                0.37669,                0.93059,                0.98109,                0.99107,                0.99352,                0.78174,                0.88017,                0.36828,                0.98416,             0.00056154,             0.00056154,             0.00056154
                    112,                0.72246,                  0.371,                0.92525,                0.97955,                0.98978,                0.99329,                0.78859,                0.85974,                0.36726,                0.97652,             0.00055964,             0.00055964,             0.00055964
                    113,                0.72664,                  0.387,                0.92196,                0.98685,                0.98887,                0.99325,                0.79184,                0.85149,                0.37224,                 0.9728,             0.00055774,             0.00055774,             0.00055774
                    114,                 0.7186,                0.37765,                0.92285,                0.98436,                0.98636,                0.99243,                0.78944,                0.85681,                0.37533,                0.97081,             0.00055583,             0.00055583,             0.00055583
                    115,                0.71472,                0.37582,                0.91921,                0.98012,                0.98187,                0.99169,                0.78361,                0.85812,                0.37112,                0.97166,             0.00055393,             0.00055393,             0.00055393
                    116,                0.71211,                0.37282,                0.93028,                0.97706,                0.97827,                0.99251,                0.78002,                0.86458,                0.36995,                0.97577,             0.00055203,             0.00055203,             0.00055203
                    117,                0.71757,                0.37652,                0.92409,                0.97675,                0.98408,                0.99157,                0.78184,                0.83831,                0.36948,                0.96673,             0.00055012,             0.00055012,             0.00055012
                    118,                 0.7024,                0.37531,                0.92177,                0.96684,                0.98138,                0.98883,                0.77174,                0.88173,                0.38192,                0.98542,             0.00054822,             0.00054822,             0.00054822
                    119,                0.74508,                0.37319,                0.92731,                0.97667,                0.98699,                0.99355,                0.78087,                0.87536,                0.36464,                 0.9914,             0.00054632,             0.00054632,             0.00054632
                    120,                0.71642,                0.37023,                0.92964,                0.98227,                0.99041,                0.99401,                0.78392,                0.85717,                0.36313,                0.98488,             0.00054441,             0.00054441,             0.00054441
                    121,                 0.7087,                0.36555,                0.91977,                0.98121,                0.97449,                0.99284,                0.78552,                0.85394,                0.36149,                0.97914,             0.00054251,             0.00054251,             0.00054251
                    122,                0.73077,                0.37669,                0.92215,                0.98098,                0.98496,                0.99382,                0.78783,                0.85239,                0.36395,                0.97555,             0.00054061,             0.00054061,             0.00054061
                    123,                0.72316,                0.37703,                0.92812,                0.97872,                0.98013,                0.99356,                0.79156,                0.85278,                 0.3626,                0.97572,              0.0005387,              0.0005387,              0.0005387
